iter	MultiClass	AUC:class=0	AUC:class=1	AUC:class=2	AUC:class=3	AUC:class=4	AUC:class=5	AUC:class=6
53	-0.5305196976	0.896174003	0.8543104115	0.9880985983	0.9972796745	0.9584261124	0.9756669594	0.9903852148
54	-0.5285645551	0.8963437778	0.8528630546	0.9880944795	0.9972797749	0.9585410906	0.9756816965	0.9904584052
55	-0.5269653001	0.8962952552	0.8525100048	0.988257497	0.9973684319	0.9585799228	0.976009522	0.9904810549
56	-0.5255960664	0.8964356269	0.8527314267	0.9883639768	0.9974330958	0.958668321	0.9762665323	0.9905003611
57	-0.523729883	0.8964849834	0.8523299615	0.9883605276	0.9974653693	0.9585055464	0.9763080602	0.9905599144
58	-0.5218181553	0.8968042869	0.8509226662	0.988378691	0.9974774081	0.9587112705	0.9763253477	0.9906491621
59	-0.5199738284	0.8968214082	0.84941225	0.9884321587	0.997498188	0.9585379561	0.9763744562	0.9907542242
60	-0.5182845308	0.8969487961	0.8481471166	0.9884410753	0.9974950957	0.9588273328	0.9763633623	0.9908074677
61	-0.5166652275	0.8970284924	0.8466333209	0.988473312	0.9974947033	0.9585288257	0.9763941887	0.9909484607
62	-0.5148506031	0.8972289219	0.8454329415	0.9884656579	0.9975082629	0.958720185	0.9764198024	0.9910121454
63	-0.5130629615	0.8971536391	0.8444919438	0.9885133009	0.9975014132	0.9585321989	0.9766260908	0.991201643
64	-0.5114199907	0.897167755	0.8437327049	0.9886685993	0.9975432128	0.9591643421	0.9770509068	0.9912319726
65	-0.5098291968	0.8972598521	0.8438628949	0.988805386	0.9976369227	0.959189527	0.9774896628	0.9912560863
66	-0.5082109233	0.8972208477	0.8420320153	0.9888435727	0.997636976	0.9591404916	0.9775458223	0.9913849375
67	-0.506747334	0.8972340838	0.8412190706	0.9889238018	0.997690183	0.9596420972	0.9777268663	0.9914247599
68	-0.5054012547	0.8972288089	0.8399017616	0.9889247999	0.9976912005	0.9595420982	0.9777362627	0.9915221271
69	-0.5035852291	0.8972576741	0.8388975537	0.9889154821	0.9976889709	0.959344634	0.9776902381	0.9916098455
70	-0.5018711874	0.8975500338	0.8378542871	0.9889250888	0.9976793532	0.959252939	0.9776933272	0.9916542263
71	-0.5005071234	0.8976650619	0.8375080245	0.9889156007	0.9976602547	0.9595117638	0.977672629	0.9917202406
72	-0.4993972365	0.897687622	0.8376687556	0.9890222792	0.997744006	0.9595135799	0.9779390292	0.9917299997
73	-0.4976758696	0.8977530268	0.8372367995	0.9890766151	0.997744447	0.9592743488	0.9780128671	0.9918286202
74	-0.4961553376	0.8979815202	0.8378591345	0.9891439251	0.9977677963	0.959424306	0.9781171164	0.9919363159
75	-0.4953492234	0.8978975987	0.8364897472	0.989159525	0.9977672333	0.9595117077	0.9781590239	0.9920018572
76	-0.4940781407	0.8976318499	0.8350799823	0.9891429615	0.9977719784	0.9593371972	0.9780928601	0.9920316758
77	-0.4927351709	0.8975540933	0.8341106706	0.989159396	0.9977923706	0.9591178446	0.9782194097	0.9920908827
78	-0.4915251184	0.8977962931	0.8333650469	0.9892266768	0.9978053011	0.9592056643	0.9782747314	0.9921255789
79	-0.4905203065	0.8977359824	0.8332134621	0.9892236959	0.9978694309	0.9593660487	0.9784797758	0.9921602905
80	-0.4891874197	0.8977884485	0.83334261	0.9893554198	0.9979674631	0.9597210962	0.9788176431	0.9922019216
81	-0.4878239803	0.8978671951	0.8316155037	0.9893441753	0.9979706543	0.959189599	0.9788789354	0.9923149716
82	-0.4867876166	0.8976567961	0.8299931281	0.9893357728	0.9979700326	0.9592651591	0.9788964986	0.9923477221
83	-0.4858481917	0.8977050272	0.8275841798	0.989316335	0.9979914388	0.9594445749	0.978893868	0.9923897505
84	-0.4844999102	0.898026495	0.8277420351	0.9893600933	0.9979936731	0.9594986708	0.9789435352	0.9924128634
85	-0.4836215769	0.8980922757	0.8279111557	0.9894930604	0.9980135478	0.9595254097	0.979169161	0.9924272482
86	-0.4825316821	0.8980544554	0.8263785853	0.9895067707	0.9980170132	0.9592656458	0.9792582804	0.9924925381
87	-0.4807967942	0.8983060303	0.8261917098	0.989534753	0.9980154114	0.9591417036	0.9793478327	0.9927070774
88	-0.4796388856	0.8982891928	0.8259778871	0.9895381065	0.9980100593	0.9594385599	0.9794321661	0.9927262281
89	-0.4786528898	0.8981865896	0.8235906619	0.9895453822	0.997994379	0.9590087527	0.979507911	0.9927754686
90	-0.4777096288	0.8983859336	0.8223325371	0.9895419581	0.9979976884	0.9592126602	0.9794927576	0.9928622687
91	-0.4768076842	0.8986550392	0.8216554013	0.9895495317	0.9979837906	0.9594846434	0.9794582241	0.9929011573
92	-0.4755146863	0.8987125758	0.8211247975	0.9895726232	0.9979889056	0.9593435152	0.9795420134	0.992917455
93	-0.4743527204	0.8987901626	0.821299457	0.9897029422	0.9980659733	0.9594272125	0.9798986502	0.9929154274
94	-0.4726731973	0.8986886948	0.8213840174	0.9897434765	0.9980472509	0.9601190958	0.9800543499	0.9930978722
95	-0.4717485268	0.8987514008	0.8189771421	0.989733755	0.998083779	0.9600385064	0.9800252931	0.993095086
96	-0.4711232396	0.8987645479	0.8166534689	0.9897250218	0.9980851954	0.9601959624	0.9800287771	0.9931377113
97	-0.4702514922	0.898978595	0.8169548123	0.9898310151	0.9981186528	0.960314582	0.9802637811	0.993168231
98	-0.4694384293	0.8987230789	0.8159564981	0.9898225176	0.9981197596	0.9598830152	0.980226697	0.993228403
99	-0.4683044334	0.89882813	0.8156230629	0.9898239928	0.9981317606	0.9600635951	0.980335228	0.9933164702
100	-0.4673981669	0.8988898131	0.81470906	0.9898195396	0.9981342621	0.9596282277	0.9803580952	0.993368461
101	-0.4665402296	0.8988633633	0.8143139067	0.9898171664	0.9981522937	0.9596807898	0.9803438147	0.993397104
102	-0.4653545609	0.8987606153	0.8145257721	0.9898712965	0.9981627238	0.9598979966	0.9804189311	0.9934748673
103	-0.4646010153	0.8989029249	0.813555867	0.9899014943	0.9981741471	0.9599855923	0.9805293609	0.9934769181
104	-0.4634909111	0.8990433121	0.8137106781	0.9899138319	0.9981788412	0.9599435491	0.9805490868	0.9935781248
105	-0.4625083737	0.8990665925	0.8134648787	0.9899156612	0.9981821189	0.9597471654	0.9806257318	0.9936079286
106	-0.4610187504	0.8991775764	0.8137255679	0.9899469459	0.9982172152	0.9606604031	0.9806411761	0.9936413934
107	-0.4600736814	0.8994730475	0.8139224417	0.9900116272	0.998224773	0.9607462752	0.9808187202	0.9936713184
108	-0.4593208678	0.8991510146	0.8119032157	0.9899974977	0.9982256504	0.9606494273	0.98076928	0.9937102351
109	-0.4577668461	0.8993169568	0.8119502919	0.990072929	0.9982286238	0.961236025	0.9809367633	0.9939100088
110	-0.4568225547	0.8992669622	0.8114104892	0.9900442726	0.9982288246	0.9611355255	0.9808647933	0.9940059838
111	-0.456213839	0.8994757591	0.809456537	0.9900440007	0.9982295907	0.9612355861	0.9808735125	0.9940254632
112	-0.4554203283	0.8993398216	0.8093847154	0.9900310367	0.9982274592	0.9611883098	0.9808645365	0.9940593206
113	-0.4546209701	0.8994947766	0.8082960397	0.9900176362	0.9982572658	0.9612113166	0.9808473317	0.9940874474
114	-0.453521329	0.8995840701	0.8085944078	0.9901031971	0.9983330384	0.961362144	0.9811155717	0.9941142605
115	-0.4526704929	0.8997601537	0.8075670829	0.9901009257	0.998332446	0.961493784	0.9812127781	0.994149714
116	-0.4515985279	0.8998898454	0.8080052938	0.9901592034	0.9983298981	0.9615840193	0.9814117592	0.9941784068
117	-0.4508959698	0.9001609956	0.8065129175	0.9901619492	0.9983285736	0.9616871674	0.9814113794	0.9941966033
118	-0.4501503004	0.9002520159	0.8067433536	0.9902260303	0.9983538121	0.9616978599	0.981537294	0.9942174983
119	-0.4492564749	0.9006356621	0.8068569854	0.9902412725	0.9983519871	0.9617145654	0.9815679983	0.994265439
120	-0.4484790383	0.9005168971	0.8062217546	0.9902177097	0.9983486901	0.9613152918	0.9815271257	0.9943153472
121	-0.4477700921	0.9005091223	0.8062722004	0.9903180668	0.9983590669	0.9614344816	0.9816648196	0.9943233582
122	-0.4471049138	0.9004870063	0.8063007407	0.9903956454	0.9983783987	0.9615381453	0.9818016615	0.994324704
123	-0.4460598168	0.9004553938	0.8063427823	0.9904287226	0.9983756454	0.9616446204	0.9819070782	0.9943550118
124	-0.4454312679	0.9004444849	0.806427658	0.9904597065	0.9984158011	0.961632822	0.9820604626	0.9943530055
125	-0.4443202064	0.9004388565	0.8071406862	0.9904392688	0.9984508672	0.9619078971	0.9820264572	0.9943872755
126	-0.4437118283	0.9005014475	0.8065106089	0.9904473973	0.998449277	0.9620290099	0.9820140582	0.9943929578
127	-0.44324637	0.9003765817	0.8055662382	0.9904806323	0.9984479039	0.9619073775	0.9820246445	0.994389298
128	-0.4424040423	0.9005492656	0.8051528974	0.9904991944	0.9984519438	0.9620149649	0.9820970129	0.9944429036
129	-0.4417622399	0.9004109783	0.8044373784	0.9905077042	0.9984550957	0.9620328538	0.9821020831	0.99449283
130	-0.4410614839	0.9003770033	0.8044079578	0.9905955077	0.9984743089	0.9621530401	0.9823047161	0.9944961666
131	-0.440606899	0.9003575178	0.8044539658	0.9906339137	0.9984790131	0.9621906382	0.9823797472	0.9945060634
132	-0.4395765727	0.9006254186	0.8048896133	0.9906473915	0.9984776623	0.9622868253	0.9824138972	0.9945665729
133	-0.4388310874	0.9007859504	0.8051573572	0.990650551	0.99847766	0.9623558152	0.9824330024	0.9945940445
134	-0.4379673382	0.9008385565	0.8053986035	0.9907159613	0.9985075269	0.9626446374	0.9825385874	0.9945845295
135	-0.4369122989	0.9011848714	0.8051722828	0.9907038717	0.9985122473	0.9626271361	0.9825625006	0.9947093403
136	-0.4364251827	0.9009874893	0.8045381475	0.9907044873	0.9985117715	0.9625015771	0.9825732323	0.9947228831
137	-0.4351846434	0.9011125031	0.8042632943	0.990687994	0.9985126172	0.9625773337	0.9825720697	0.994761482
138	-0.4345924136	0.9012305279	0.8045514973	0.990687492	0.9985110687	0.9626361849	0.9825702733	0.9947826206
139	-0.4338862924	0.9012588109	0.8045256731	0.9906798562	0.9985112386	0.9628063659	0.9826387778	0.994778456
140	-0.4333173121	0.9014193166	0.803459663	0.9906957906	0.9985127671	0.9628430678	0.982668223	0.9947849349
141	-0.4328647527	0.9016450705	0.8018337034	0.9906992589	0.9985110749	0.9628566231	0.9826815808	0.9947804971
142	-0.4319947036	0.9018382811	0.8022407845	0.9906985377	0.9985123647	0.9630231026	0.9826924859	0.9948057651
143	-0.4314061697	0.9021387495	0.8013671677	0.9906889231	0.9985114008	0.9630874546	0.9826649228	0.9948022081
144	-0.4306187656	0.9023034684	0.8011563271	0.9907018318	0.9985259172	0.9631326798	0.9827108183	0.994822826
145	-0.430064043	0.902324017	0.8011977616	0.9907737698	0.9985712096	0.9631859342	0.9828874758	0.994825443
146	-0.4296587512	0.9023565758	0.7999306741	0.9907685305	0.9985761285	0.9632895895	0.9829403628	0.9948207109
147	-0.4281939557	0.9028008717	0.8010928961	0.9908262758	0.9985717247	0.9639528636	0.9831081169	0.9948564643
148	-0.4275553118	0.9028149357	0.8005652723	0.9908126718	0.9985825395	0.9641883261	0.9830662171	0.9948628651
149	-0.4267778046	0.9032871637	0.8007465844	0.9907981552	0.9985818003	0.964411297	0.9830773878	0.9948904596
150	-0.4260066474	0.9035118004	0.801142282	0.9908017507	0.9985810721	0.9644324957	0.9830708028	0.9949500275
151	-0.425561282	0.903479951	0.8003515987	0.9908083633	0.9985786339	0.9643098168	0.9831005698	0.9949683884
152	-0.4251269683	0.9033988281	0.8004181743	0.9908340167	0.9986026482	0.9644602935	0.983158365	0.9949780237
153	-0.4247299266	0.9034830955	0.8004862543	0.9908325341	0.9986349348	0.9645524582	0.9832037962	0.9949869693
154	-0.4238229793	0.9037594314	0.800618425	0.9908547671	0.9986363049	0.9645366525	0.9832345305	0.9950642168
155	-0.4229302696	0.9038399573	0.8005740578	0.9908737088	0.9986409751	0.964629303	0.9832669755	0.9951093999
156	-0.4221150584	0.9039693307	0.8011103216	0.990919301	0.9986516299	0.9649519898	0.9834860967	0.9951451424
157	-0.421644655	0.9039954789	0.8003983344	0.9909126818	0.9986513349	0.9649603995	0.9834899621	0.9951541317
158	-0.4210725721	0.9040501918	0.8004380802	0.9909156255	0.9986523566	0.9649999084	0.983497696	0.9951642588
159	-0.4206395784	0.90402818	0.8003995617	0.990940343	0.9986699137	0.9650771352	0.9835865065	0.9951698043
160	-0.4195357086	0.9042122227	0.8000532527	0.9909504399	0.998677904	0.9654636839	0.9836476966	0.995181303
161	-0.4186851349	0.9043210018	0.7999411726	0.9909526404	0.9986778685	0.9656905423	0.9836791303	0.9952339786
162	-0.4182388975	0.9044468049	0.7989989699	0.9909438593	0.998676344	0.9657109418	0.9836729353	0.9952340988
163	-0.4170429255	0.9048126117	0.7999446923	0.9909760058	0.9986736215	0.9658506543	0.9837983932	0.9952671375
164	-0.4164247854	0.9050118897	0.7999193098	0.9909702683	0.9986714328	0.9659298707	0.9837948762	0.9952905708
165	-0.4159905669	0.9050340942	0.7999565946	0.9910344664	0.9986881534	0.965934963	0.9838972833	0.995294924
166	-0.415313939	0.9050610798	0.7998440279	0.9910459232	0.9986869409	0.9656389535	0.9839220736	0.9953465657
167	-0.4147183033	0.9051500131	0.7994961282	0.991048908	0.9986893775	0.9656363807	0.9839227547	0.9953558234
168	-0.4137759638	0.9053997116	0.7994660585	0.9910666965	0.9986898927	0.9658775241	0.9841457153	0.9953632557
169	-0.4127047093	0.9053783761	0.7995869858	0.9910959632	0.9987182381	0.9666352577	0.9842209617	0.9953902547
170	-0.4123013942	0.9053938825	0.7996743594	0.9911095723	0.9987366601	0.9666905237	0.9842672967	0.9953960718
171	-0.4112748997	0.9057082455	0.8000073778	0.9911365896	0.9987295131	0.9670966171	0.9843604941	0.9954331801
172	-0.4108061805	0.9058509281	0.8001957642	0.9911442924	0.9987295379	0.9670491145	0.9844140379	0.9954547286
173	-0.4098635174	0.9058903829	0.7999976191	0.9911631861	0.9987264795	0.9674299142	0.9844760127	0.9954688393
174	-0.4089210394	0.9060175329	0.800077941	0.9911908314	0.9987325375	0.9675499937	0.9845387498	0.9955289727
175	-0.4084881191	0.9060865403	0.7998597164	0.9911978624	0.9987324194	0.9673793494	0.9845703681	0.9955358247
176	-0.408164651	0.9061119285	0.7998480823	0.9912078738	0.9987425807	0.9674255391	0.9846533112	0.9955377744
177	-0.4077037916	0.9061777998	0.799989442	0.9912038336	0.9987400892	0.9676622537	0.9846531107	0.9955479461
178	-0.4071947438	0.906369987	0.7992741042	0.991198017	0.998742566	0.9677428842	0.9846328068	0.9955621462
179	-0.4067608943	0.9063760902	0.7993368639	0.9912457439	0.9987428294	0.967800853	0.9847031267	0.9955749607
180	-0.4059899939	0.9066398416	0.7993733039	0.9912643375	0.9987394304	0.9679104495	0.9847272156	0.995607187
181	-0.4051884295	0.9067830941	0.799494615	0.991282996	0.9987506298	0.9682349127	0.984786776	0.9956329212
182	-0.4048681106	0.9068711071	0.7990157217	0.9912792034	0.9987508846	0.9682574126	0.9847826738	0.9956269221
183	-0.4041118309	0.9069061017	0.7992138249	0.9912989756	0.998755344	0.9683232551	0.9848117775	0.9956691683
184	-0.4037756155	0.9069671216	0.7992936995	0.9912723184	0.9987620083	0.9684153497	0.9847907986	0.995675693
185	-0.4031042823	0.9071079862	0.7988207872	0.991276989	0.9987590781	0.9686754156	0.984787223	0.9956873185
186	-0.4024932091	0.9071066695	0.7986675971	0.9912905254	0.9987579613	0.9686845943	0.9848066615	0.9957341821
187	-0.4016567556	0.9071042376	0.7987227635	0.9913389645	0.9987612622	0.9691761067	0.9849076399	0.9957821876
188	-0.4011621636	0.9071741146	0.7984105031	0.991339996	0.9987557409	0.9691628245	0.9849081124	0.9957890417
189	-0.4008372488	0.9072034464	0.7972571547	0.9913426106	0.9987535947	0.969086332	0.9849411991	0.9957910147
190	-0.4002106961	0.9073769001	0.7975373972	0.9913662087	0.9987515612	0.9691177305	0.9849636363	0.9958181728
191	-0.3998367513	0.9074646105	0.79726374	0.9913717953	0.9987503687	0.9690440809	0.984967112	0.9958215095
192	-0.3987982694	0.9075296977	0.7975567508	0.9914554047	0.9987632656	0.9696576184	0.9851540244	0.9958623319
193	-0.398288299	0.9077375135	0.7976354741	0.9914525279	0.998770045	0.9699232882	0.9851060911	0.9958714875
194	-0.3978211296	0.9076832662	0.7975117103	0.9914742716	0.9987786254	0.9700676906	0.98515138	0.9958688844
195	-0.3973443079	0.9076898701	0.7975145011	0.9914757857	0.9987794085	0.9700456176	0.9851656613	0.9958768151
196	-0.3971194151	0.9076228814	0.7959781571	0.9914688286	0.9987787412	0.9700486225	0.9851426694	0.9958737173
197	-0.3965825273	0.9075362737	0.7956379811	0.9914732172	0.9987740502	0.9701252509	0.9851656578	0.9958981261
198	-0.3959065145	0.9076121134	0.7953692895	0.9914591227	0.9987700203	0.9700925244	0.9852028519	0.9959445968
199	-0.3953501974	0.9076262445	0.7953389269	0.9914586356	0.9987683459	0.9701728085	0.9852207864	0.9959774663
200	-0.3947235191	0.9076575544	0.7953784379	0.9914832161	0.9987708899	0.9702761872	0.9852705421	0.996032496
201	-0.3942740719	0.907731485	0.7948910108	0.9914874764	0.9987724407	0.9703116485	0.9852680095	0.9960390062
202	-0.393843531	0.9077615934	0.7957015223	0.9914799942	0.9987728006	0.9703941506	0.9852387157	0.9960481168
203	-0.393399307	0.9075066058	0.7958045965	0.9915042374	0.9987941141	0.9706003281	0.9852688821	0.9960617472
204	-0.392668264	0.9077918699	0.7961494398	0.9915121344	0.9987919069	0.9706666291	0.9852886508	0.9960762483
205	-0.3922519517	0.907809706	0.7961936413	0.9915748178	0.9988115507	0.9706862542	0.9854144876	0.9960722653
206	-0.3917018311	0.907972233	0.7961563405	0.9915755187	0.9988144662	0.9706947725	0.9854230244	0.9960832662
207	-0.3912437052	0.9077737067	0.7958739691	0.9915854361	0.9988153543	0.97068039	0.9854742019	0.9960997706
208	-0.3908181219	0.9078195209	0.7956899462	0.9915881438	0.9988160494	0.9707261645	0.985477832	0.996133949
209	-0.3903021049	0.9078347891	0.7959585106	0.9916214727	0.9988147179	0.9707398871	0.985518749	0.9961660962
210	-0.3898174592	0.9078683675	0.7960398631	0.9917155535	0.9988350985	0.970837428	0.9856950895	0.9961740102
211	-0.3894849487	0.9078734687	0.796038494	0.9917273838	0.9988497184	0.9709535532	0.98573707	0.9961753816
212	-0.3888720618	0.9080489458	0.7965452859	0.9917397002	0.9988523829	0.9710595743	0.9857513755	0.9962002636
213	-0.3885561863	0.9081620891	0.7966995004	0.9917939401	0.9988612151	0.9712162932	0.985844281	0.996191607
214	-0.3881787465	0.9081840331	0.7959160543	0.9917806535	0.9988615387	0.9712481052	0.9858192365	0.9961894058
215	-0.3878344345	0.9082037649	0.7955278626	0.9917934382	0.9988627103	0.9712916208	0.9858646016	0.9961884398
216	-0.3874094503	0.908350567	0.7954258988	0.9917908574	0.9988609039	0.9714922802	0.9858679659	0.9961948833
217	-0.3869413253	0.9084214707	0.7954541338	0.9918012243	0.9988675241	0.9715501301	0.9859250548	0.9962077185
218	-0.3867649851	0.908450206	0.7954758839	0.9918073413	0.9988775009	0.9715722049	0.9859401338	0.9962073657
219	-0.3863962354	0.9084714139	0.7952858406	0.9918090284	0.9988782114	0.9716535052	0.9859787884	0.996206883
220	-0.3859323114	0.9086661906	0.7956635401	0.9918207853	0.9988737119	0.971770867	0.9860188716	0.9962066726
221	-0.3854675745	0.9087807739	0.7953679183	0.9918215545	0.9988755214	0.9717826169	0.9860320236	0.9962135064
222	-0.3850337843	0.9088049001	0.7951231337	0.9918111325	0.9988757709	0.9720847818	0.9859962602	0.9962128825
223	-0.3845329556	0.908769357	0.7949930113	0.9917887505	0.9988874861	0.9723038159	0.985921008	0.9962252355
224	-0.3839167974	0.9089146631	0.7952361909	0.9918069961	0.9988876499	0.9723819808	0.9859510804	0.9962529597
225	-0.3834515551	0.9090393526	0.7954610932	0.9917897526	0.998888718	0.9724095088	0.9859265816	0.9962573722
226	-0.3830791545	0.9090821671	0.7952914852	0.9917884094	0.9988876784	0.9723960395	0.9859347158	0.9962829671
227	-0.3823587229	0.9091724211	0.7956454148	0.9918316592	0.998895841	0.9728105038	0.9859786504	0.9963007442
228	-0.3818364936	0.9092665187	0.79577713	0.9918452123	0.9988986476	0.9728843259	0.9860015735	0.9963209236
229	-0.3812558282	0.9094481107	0.7960347195	0.9918543993	0.9989031765	0.9730386355	0.9860357894	0.9963392416
230	-0.3805084547	0.9094331082	0.7961015522	0.9919133864	0.9989090368	0.9734661481	0.9861444296	0.9963523163
231	-0.3800669332	0.9096082763	0.7959909434	0.9919222315	0.9989099481	0.9735996798	0.9861823681	0.9963718102
232	-0.3797710738	0.9095550438	0.7959670765	0.9919228574	0.9989247758	0.9736313229	0.9862006821	0.996368107
233	-0.3795619738	0.9095638024	0.7959391364	0.9919187782	0.9989247333	0.973588459	0.9862024991	0.9963680599
234	-0.3790826813	0.9095802415	0.7954894545	0.9919250931	0.9989269591	0.9736057125	0.9862265745	0.996381128
235	-0.3785736199	0.9096142554	0.7956713441	0.9919305717	0.9989297209	0.9737683315	0.9862662833	0.9964037233
236	-0.3783724335	0.9096932613	0.7958145651	0.9919425928	0.9989300314	0.9737623168	0.986291672	0.996409447
